"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",1358800.72231578,0.0617782213986539,0.185465144669687,0.333098823008932,0.73905968780646,0.999808762331561
"ACTA1",1086105.293752,-0.14704091554243,0.146471252246132,-1.00388924985321,0.315431998757219,0.999808762331561
"CKM",581485.482274112,-0.0123278854926163,0.16694889033063,-0.0738422727350974,0.941135890042646,0.999808762331561
"MYH7",529918.791874525,0.189330993680766,0.2530478703741,0.74820228046521,0.454338155697949,0.999808762331561
"MYH2",532713.072632445,-0.497453268194187,0.260428981984921,-1.91013021823735,0.0561164491125016,0.999808762331561
"MT-ND4",458110.359469781,0.0795754223911093,0.182715302937446,0.435515915261639,0.663187989367377,0.999808762331561
"MT-CO3",389127.229233754,0.00623313705773708,0.173330230194864,0.0359610499030064,0.971313416526488,0.999808762331561
"TTN",379134.302400807,0.0868032801507325,0.189819039616409,0.457294907434715,0.647459089594666,0.999808762331561
"MT-CO2",335143.697755653,0.070738393111416,0.222428641613942,0.318027357439844,0.750464185154507,0.999808762331561
"MT-CYB",315434.800223374,0.108482205783682,0.165361107625132,0.656032167065591,0.511803427541377,0.999808762331561
"MT-ATP6",280666.225178426,0.0524241254028468,0.161578357760627,0.324450168509024,0.745597243136098,0.999808762331561
"MT-ND1",252667.76788882,-0.00875914293964966,0.193235941412995,-0.0453287461721684,0.96384527484932,0.999808762331561
"NEB",252225.485030141,-0.0407729918669489,0.20450399270184,-0.199375040693678,0.841969383179018,0.999808762331561
"MYBPC1",238067.463299184,0.0443189227066574,0.119279677118055,0.371554683726998,0.710224434354211,0.999808762331561
"DES",223535.749322256,-0.091829865574916,0.158878680463441,-0.577987337930131,0.563272667949465,0.999808762331561
"FHL1",202578.802858365,-0.136061851891775,0.14397921279018,-0.945010389034822,0.344653572127094,0.999808762331561
"TPM2",200188.358737755,-0.162657348505257,0.198861168118832,-0.817944247456392,0.413389023108263,0.999808762331561
"MT-ND2",188614.643795788,0.0204978992196481,0.166104462405335,0.123403663711504,0.901787456028014,0.999808762331561
"MB",185319.86185907,0.0446610512168895,0.191298310562395,0.233462862717351,0.815402004072754,0.999808762331561
"MT-ND5",171869.605061788,0.0515616717034034,0.2420183942856,0.213048565401838,0.831289082414019,0.999808762331561
"FLNC",154011.607099238,-0.0566686970547686,0.273094896175405,-0.207505514926837,0.835615086116526,0.999808762331561
