"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",1358800.72231578,-0.162620288845067,0.185465215209387,-0.876823660229071,0.380582425757477,0.999743431474113
"ACTA1",1086105.293752,-0.140975521490382,0.146471154881324,-0.962479756540494,0.335808667144055,0.999743431474113
"CKM",581485.482274112,-0.0584029055989312,0.166948806596956,-0.349825235588093,0.726469858976567,0.999743431474113
"MYH7",529918.791874525,0.05495472918069,0.253047899251555,0.21717125233298,0.828074887360986,0.999743431474113
"MYH2",532713.072632445,-0.442635819896152,0.260428794012084,-1.69964239774352,0.0891982102901684,0.999743431474113
"MT-ND4",458110.359469781,-0.176663816886174,0.182715581073053,-0.966878773275175,0.333604639142938,0.999743431474113
"MT-CO3",389127.229233754,-0.116227519660112,0.173330268793869,-0.670555238094822,0.502503906033992,0.999743431474113
"TTN",379134.302400807,-0.0414610255369377,0.189819081744196,-0.218423907417334,0.827098839778947,0.999743431474113
"MT-CO2",335143.697755653,-0.153811135621729,0.222428880135893,-0.691507035991722,0.4892469606336,0.999743431474113
"MT-CYB",315434.800223374,-0.109608940486343,0.165361436354066,-0.662844632358245,0.507430065241234,0.999743431474113
"MT-ATP6",280666.225178426,-0.168123254397644,0.161578736394509,-1.04050358450109,0.298105999584976,0.999743431474113
"MT-ND1",252667.76788882,-0.208070763942043,0.193236222626685,-1.07676894690711,0.281583501533248,0.999743431474113
"NEB",252225.485030141,-0.100809679451362,0.204503882151555,-0.492947509801567,0.622049676456286,0.999743431474113
"MYBPC1",238067.463299184,-0.0512079276059564,0.119279638789557,-0.429309881599338,0.6676977265409,0.999743431474113
"DES",223535.749322256,-0.103347959415631,0.158878333597018,-0.650484915569197,0.515379042331641,0.999743431474113
"FHL1",202578.802858365,-0.0386900304375981,0.143978263643881,-0.268721329584131,0.788144136694645,0.999743431474113
"TPM2",200188.358737755,-0.118646673716705,0.1988606607016,-0.596632201150835,0.550752967321234,0.999743431474113
"MT-ND2",188614.643795788,-0.205198321027307,0.166105065147737,-1.23535258148088,0.216699312367436,0.999743431474113
"MB",185319.86185907,0.115125670696898,0.191297715089863,0.60181414421399,0.547297858962654,0.999743431474113
"MT-ND5",171869.605061788,-0.213846294730708,0.242018966859907,-0.883593122907978,0.376915892765202,0.999743431474113
"FLNC",154011.607099238,-0.00957887698053662,0.273093870000936,-0.0350754009253441,0.972019616557146,0.999743431474113
"GAPDH",148448.228474346,-0.21779011553953,0.142187714042885,-1.53170839692832,0.125594409374466,0.999743431474113
"PYGM",129904.434414435,-0.195701795764542,0.149079071025092,-1.31273822957753,0.189271170834788,0.999743431474113
"MYL1",120446.534572497,-0.113955135316009,0.18152473342746,-0.627766438018472,0.530156955218625,0.999743431474113
"ENO3",119003.014798741,-0.222400385362753,0.209994484721373,-1.05907726889989,0.289564591239136,0.999743431474113
"TNNT1",115438.953525995,0.344295647780445,0.288757465723596,1.19233505155503,0.233129895815675,0.999743431474113
"MYL2",110454.386436926,0.254012245567319,0.253624139380884,1.00153024151164,0.316570527176277,0.999743431474113
"ACTN2",109979.489683577,-0.119907910041755,0.168257990807231,-0.712643182451472,0.476066583325294,0.999743431474113
"NRAP",105694.505924633,-0.212865761761118,0.261216441281888,-0.81490185195275,0.415128493023574,0.999743431474113
"ATP2A1",103849.874636543,-0.28344859752035,0.26836536993696,-1.05620407576035,0.290874989092214,0.999743431474113
"ATP2A2",96728.0335072027,0.174253978514212,0.305241112520831,0.570873225677687,0.568085581423369,0.999743431474113
"TCAP",97428.525936483,0.14209008020737,0.224350644682696,0.633339299774828,0.526512094657463,0.999743431474113
"TNNI1",97575.506170821,0.247089996184458,0.241049050694866,1.0250610631827,0.305334376184976,0.999743431474113
"CMYA5",89470.8618207297,0.00465758760771269,0.16680674769923,0.0279220575423652,0.977724315925907,0.999743431474113
"TNNT3",90229.0726571076,-0.375033923837379,0.289898157003549,-1.29367474327471,0.195777792928855,0.999743431474113
"XIRP2",83235.7897249682,-0.153599281708697,0.366592725826134,-0.418991624458871,0.675222253474836,0.999743431474113
"TNNC2",81445.2721803842,-0.386775626398324,0.281973864683035,-1.37167189885877,0.170165600205925,0.999743431474113
"MT-ND6",76960.7869450166,-0.337133403595741,0.230061333596181,-1.46540663016194,0.142810009607083,0.999743431474113
"TPM3",75821.429262315,0.1525364032983,0.245763322070883,0.620663824092943,0.534820836405959,0.999743431474113
"MT-ND4L",73844.6486867015,-0.148474952045725,0.250528695987197,-0.592646488900867,0.553417760033762,0.999743431474113
"TPM1",68673.192201762,-0.341862843717985,0.27864034907996,-1.22689640910507,0.219861528392847,0.999743431474113
"TNNC1",65208.7101784438,0.252808089539332,0.251757466752898,1.00417315442511,0.315295159424028,0.999743431474113
"MT-ND3",64975.043262642,0.114705270801331,0.235400193635412,0.487277724923992,0.626061531012986,0.999743431474113
"CA3",60778.073099565,-0.0557385429092934,0.202962015223988,-0.274625490133119,0.783603980745627,0.999743431474113
"OBSCN",60522.0396336398,-0.243968312645534,0.190659886421954,-1.27959959078965,0.200685993859976,0.999743431474113
