"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",1358800.72231578,-0.0938171881728914,0.151769203657229,-0.618156950897482,0.536471884194297,0.802660029896091
"ACTA1",1086105.293752,-0.100151136321278,0.119860031290047,-0.835567413451814,0.403398307359546,0.706274195858283
"CKM",581485.482274112,-0.127193270756378,0.136617245394514,-0.931019143220736,0.351843661859387,0.665087558228626
"MYH7",529918.791874525,-0.358141336625502,0.207073652873045,-1.72953599676476,0.083713209759218,0.321461149596289
"MYH2",532713.072632445,-0.0918047355528939,0.213113340761846,-0.430778923669004,0.666629125862885,0.867996719687943
"MT-ND4",458110.359469781,-0.175393518706698,0.149518573812414,-1.17305505419512,0.240773728835305,0.559931052675844
"MT-CO3",389127.229233754,-0.109635589477605,0.141839149401118,-0.772957183827701,0.439547720447625,0.735782343404594
"TTN",379134.302400807,0.0157627286148208,0.155332545930674,0.101477308057873,0.919171570106752,0.971263560368743
"MT-CO2",335143.697755653,-0.164147553133481,0.182016972060183,-0.901825534594689,0.367149553212423,0.680133516725511
"MT-CYB",315434.800223374,-0.129233565317101,0.135317077374151,-0.955042540268374,0.339556184615713,0.654409888386391
"MT-ATP6",280666.225178426,-0.191358380708036,0.132221859727038,-1.44725222518486,0.147826294349367,0.438888433095155
"MT-ND1",252667.76788882,-0.0299041775901764,0.158128241443954,-0.18911345194954,0.85000389859238,0.946449087393153
"NEB",252225.485030141,0.298371694378405,0.167349305009985,1.78292759782063,0.0745980899465343,0.300662222427933
"MYBPC1",238067.463299184,-0.37857206727244,0.097610440554052,-3.87839728131136,0.000105146906152905,0.00297121790808966
"DES",223535.749322256,-0.0250209943535802,0.13001428755311,-0.192448036477217,0.847391267886688,0.944964251727364
"FHL1",202578.802858365,0.258182161599643,0.117820476448241,2.19131826133009,0.0284287694829841,0.167361218863716
"TPM2",200188.358737755,-0.144525639410272,0.162732568735552,-0.888117483385476,0.374477559078016,0.685747594559826
"MT-ND2",188614.643795788,-0.131096135649901,0.135924638222783,-0.964476620015218,0.334807024583821,0.650627670154695
"MB",185319.86185907,-0.148610659554061,0.156544727692196,-0.949317564027227,0.342459123097106,0.656951702964939
"MT-ND5",171869.605061788,-0.223297592090262,0.198047102251083,-1.12749739608493,0.259532240824693,0.576556948694409
"FLNC",154011.607099238,1.96962844922413,0.223472130461234,8.81375429302493,1.21023148998405e-18,7.6946518133186e-15
"GAPDH",148448.228474346,0.0266734046194047,0.116355231884132,0.229241128116752,0.818681507962972,0.933161890933772
"PYGM",129904.434414435,-0.316500589935335,0.121995899836737,-2.59435432140668,0.00947687655109409,0.0806824695270413
"MYL1",120446.534572497,0.114958187599727,0.148544902434038,0.773895204184302,0.438992765883063,0.735327602519805
"ENO3",119003.014798741,-0.0209772793587026,0.171843039733937,-0.122072324786512,0.902841739553396,0.966456398700311
"TNNT1",115438.953525995,-0.254028262181019,0.236297299853367,-1.07503666922413,0.282358311381515,0.600870848915819
"MYL2",110454.386436926,-0.215865521134179,0.20754668494039,-1.0400817589362,0.298301917564884,0.617383981730967
"ACTN2",109979.489683577,0.369470914519014,0.137688824031915,2.68337620803105,0.00728829519846737,0.0675480445194237
"NRAP",105694.505924633,0.845462041870653,0.213757716233429,3.95523519229305,7.64593962074056e-05,0.00229306057116361
"ATP2A1",103849.874636543,-0.690962983422295,0.219611849229949,-3.14629190476334,0.00165354882903634,0.0236518862879934
"ATP2A2",96728.0335072027,-0.673803478451193,0.24978812600345,-2.69750003425658,0.0069862277564113,0.0659516497034344
"TCAP",97428.525936483,-0.0681114768681159,0.183593530911154,-0.370990614593479,0.71064452216682,0.885781151512542
"TNNI1",97575.506170821,-0.269305453497715,0.197257570319428,-1.36524774720492,0.172175195967328,0.472970359023664
"CMYA5",89470.8618207297,-0.0736920296811129,0.136502603469589,-0.539858052579419,0.589294928234703,0.830854230783068
"TNNT3",90229.0726571076,0.113113334671436,0.237229903383791,0.476808922728603,0.633498191388277,0.852829430637706
"XIRP2",83235.7897249682,1.85044134318292,0.299988993911828,6.1683641091406,6.90001119001736e-10,1.43471749995023e-07
"TNNC2",81445.2721803842,0.0754064891491059,0.23074503147234,0.326795721961819,0.743822395324633,0.902868039227571
"MT-ND6",76960.7869450166,-0.307937739267514,0.18825960757194,-1.63570796327003,0.101900722064563,0.357351350054408
"TPM3",75821.429262315,-0.218431809218994,0.201115568426154,-1.08610094647744,0.277434333672936,0.594916523943517
"MT-ND4L",73844.6486867015,-0.183752851751663,0.20500875963183,-0.896317074849191,0.370083442209222,0.682917000599691
"TPM1",68673.192201762,0.20354642769507,0.228015569752474,0.892686529766513,0.372025065940598,0.684287867593625
"TNNC1",65208.7101784438,-0.252838125456668,0.206022779332307,-1.22723383441425,0.219734716044344,0.535893104952029
"MT-ND3",64975.043262642,-0.180980963472073,0.192632976919591,-0.939511844576944,0.347468013831604,0.661536646785847
"CA3",60778.073099565,-0.164426573514481,0.166095280408734,-0.989953315409403,0.322196938075928,0.639309338674468
"OBSCN",60522.0396336398,0.0999141261925425,0.156018614766057,0.640398752048654,0.521913393981292,0.791774125252458
"RYR1",59989.3612769484,-0.349304739852717,0.133612805436246,-2.61430585722855,0.00894089574636172,0.0774705681647904
"MYBPC2",59105.7699313961,-0.123450336841694,0.301100129464906,-0.409997621260014,0.681807692501909,0.874511932031992
"MYH1",57475.0278987161,0.751586001077972,0.679161311147946,1.10663842115448,0.268450288854105,0.585821858859643
"KLHL41",58246.8646460489,0.307708293459332,0.164466212004242,1.87095142345344,0.0613518143793496,0.26845701604725
"YBX3",56289.229469747,0.0216188604525207,0.0904044655170195,0.239134873801679,0.81100100072903,0.93001563159658
"PDE4DIP",55936.864649328,-0.0298525429946951,0.131199145343674,-0.227536108688032,0.820006894784823,0.933341725423953
"TPT1",54758.5996283504,-0.030076846597873,0.110539610747743,-0.272091120951293,0.785551956542887,0.918686417698705
