"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",1358800.72231578,-0.0186974730689656,0.146622997896646,-0.127520739155432,0.898528259706601,0.998639131052202
"ACTA1",1086105.293752,0.0293035026804077,0.115795779789705,0.253061922754226,0.800220362579716,0.998639131052202
"CKM",581485.482274112,0.0951439299179602,0.13198466559216,0.720871091282378,0.470988830682845,0.998639131052202
"MYH7",529918.791874525,-0.27776603008236,0.200052172644509,-1.38846795018792,0.164994597582863,0.998639131052202
"MYH2",532713.072632445,0.170046634357193,0.20588693489291,0.825922414385551,0.408848104793178,0.998639131052202
"MT-ND4",458110.359469781,-0.0607191925163572,0.144448658133851,-0.420351378135287,0.674228782008307,0.998639131052202
"MT-CO3",389127.229233754,0.0817022894898616,0.137029504804907,0.596238668498318,0.551015796700437,0.998639131052202
"TTN",379134.302400807,-0.0625955411282124,0.150065822021067,-0.417120569395375,0.676590220280078,0.998639131052202
"MT-CO2",335143.697755653,0.0248745581096182,0.175844980799955,0.141457310845374,0.88750868187392,0.998639131052202
"MT-CYB",315434.800223374,-0.0228832982504507,0.13072872854401,-0.175044142976936,0.861044947932246,0.998639131052202
"MT-ATP6",280666.225178426,-0.041996813903359,0.127738349218233,-0.32877216717127,0.742327902013173,0.998639131052202
"MT-ND1",252667.76788882,0.00708709224900425,0.152766584427355,0.0463916390850144,0.962998100383353,0.998639131052202
"NEB",252225.485030141,-0.0675832386926516,0.161675894856663,-0.418016790645066,0.675934840993574,0.998639131052202
"MYBPC1",238067.463299184,-0.0471296240487975,0.0942996051275484,-0.499786016972717,0.617225757520269,0.998639131052202
"DES",223535.749322256,0.0619532224379086,0.1256058434624,0.493235192966593,0.621846413832232,0.998639131052202
"FHL1",202578.802858365,0.0115245640213226,0.113826893641159,0.101246407177323,0.919354858358906,0.998639131052202
"TPM2",200188.358737755,0.100176108624512,0.157214188744814,0.637195086679586,0.523997777681777,0.998639131052202
"MT-ND2",188614.643795788,-0.091764732311616,0.131315933323248,-0.698808819229327,0.484671516260837,0.998639131052202
"MB",185319.86185907,0.114101814326487,0.151236031480572,0.754461838289803,0.450571951869084,0.998639131052202
"MT-ND5",171869.605061788,-0.206720575923181,0.191331925342169,-1.08042907922184,0.279951152468502,0.998639131052202
"FLNC",154011.607099238,0.0811425277134976,0.215901464656935,0.375831298052712,0.707042318249703,0.998639131052202
"GAPDH",148448.228474346,0.102276416162254,0.112410082171875,0.909850915382073,0.362901138778884,0.998639131052202
"PYGM",129904.434414435,-0.00415235950969219,0.117857906433422,-0.0352319130328168,0.971894815100518,0.998639131052202
"MYL1",120446.534572497,0.181653797298159,0.143508318951656,1.26580673946403,0.205582281653671,0.998639131052202
"ENO3",119003.014798741,0.120968913231368,0.166016047224768,0.728657953574746,0.466210918670098,0.998639131052202
"TNNT1",115438.953525995,-0.0646471627662526,0.228284536684108,-0.28318677955708,0.777033662126648,0.998639131052202
"MYL2",110454.386436926,-0.0760155168551917,0.200508990944067,-0.379112759469208,0.704604131632468,0.998639131052202
"ACTN2",109979.489683577,-0.057598776252397,0.133023717879973,-0.432996289461464,0.66501746548254,0.998639131052202
"NRAP",105694.505924633,-0.267312313711858,0.206515460424092,-1.29439371349204,0.195529460992502,0.998639131052202
"ATP2A1",103849.874636543,0.206332950239094,0.212161343753514,0.972528485108052,0.330787700959387,0.998639131052202
"ATP2A2",96728.0335072027,-0.29126179610081,0.241316740474193,-1.20696888051975,0.227444128745272,0.998639131052202
"TCAP",97428.525936483,0.119688420355524,0.177367790236632,0.674803582972103,0.499800563704136,0.998639131052202
"TNNI1",97575.506170821,-0.130963691975554,0.190568715255226,-0.687225559558172,0.491940600021419,0.998639131052202
"CMYA5",89470.8618207297,-0.0411527656116734,0.13187470116247,-0.312059593302685,0.754995234045206,0.998639131052202
"TNNT3",90229.0726571076,0.288126492222488,0.2291856741849,1.25717496631154,0.208690286043779,0.998639131052202
"XIRP2",83235.7897249682,-0.0883211501133032,0.289826188879312,-0.304738334568107,0.760565450630249,0.998639131052202
"TNNC2",81445.2721803842,0.317197550497795,0.222920345013593,1.42291880303009,0.154759694749222,0.998639131052202
"MT-ND6",76960.7869450166,-0.144065833480868,0.181875661937487,-0.792111665443095,0.428295568735557,0.998639131052202
"TPM3",75821.429262315,-0.0640304399680977,0.194295762804321,-0.329551396509783,0.741738952602832,0.998639131052202
"MT-ND4L",73844.6486867015,-0.189953081443198,0.198057992905615,-0.959078089485241,0.337519407378782,0.998639131052202
"TPM1",68673.192201762,0.271087813608631,0.220284333293572,1.23062684284203,0.21846246097224,0.998639131052202
"TNNC1",65208.7101784438,0.0135483616631949,0.199035581406917,0.0680700484176046,0.94572987293758,0.998639131052202
"MT-ND3",64975.043262642,0.0671307442815393,0.186100060461386,0.360723925156749,0.718305837561557,0.998639131052202
