,Gene,Log2FC_30m,Log2FC_3h,Log2FC_8h,Log2FC_24h
0,ACTN3,-0.0633540230933346,-0.0981813553118276,-0.823427957032435,-0.440961594512528
1,JUN,1.46481704358988,-0.322232852383508,-0.860180599433739,-1.10516824814967
2,SLC2A4,0.0583882748339567,-0.284591180386706,-0.464409553344989,-0.316041581100509
3,FOS,2.68123777470174,-2.37533857684447,-0.721964699841737,-3.70442700485315
4,NR4A3,1.91478542190891,4.97318572587806,-0.006634338478356,-0.781224501084112
5,MYOG,0.432015290130249,1.50734444043618,2.30853911016469,1.60215691398938
6,PPARGC1A,0.0869335591421031,2.3436789082536,-0.206263962667133,-0.26593708442346
7,COL3A1,-0.0027010950301481,0.0995683095333619,0.114407658802093,0.397467788265159
8,EGR1,3.50600998780284,1.20895576480426,-1.05038157037291,-2.36333144236538
9,COL1A1,0.0660073522899008,0.340252822200904,0.251329883926229,0.473595115133523
10,MYC,1.20643419717346,4.41778955863776,3.5818528372869,1.19985598139311
11,MSTN,-0.154994951062763,-1.06365629466798,-0.661361661419268,-0.561614847473081
12,CPT1B,-0.575243721772802,0.329196324102171,-0.729428338379727,-0.0841229935007249
13,IGF1,0.139235417966258,0.37502052795307,0.359478891011216,0.464391260962121
